name,ghidra_addr,ne_addr,type
hwndShipLB,1120:5316,0025:5316,HWND
hbrShip,1120:5318,0025:5318,HBRUSH
hwndMsgScroll,1120:531a,0025:531a,HWND
vlpbdVCR,1120:531c,0025:531c,BTLDATA *
fRCWReadOnly,1120:5320,0025:5320,int16_t
vrgPlrLosses,1120:5322,0025:5322,uint16_t *
bitfMsgFiltered,1120:5324,0025:5324,uint8_t[49]
cFleet,1120:5356,0025:5356,int16_t
hpenDkGreen,1120:5358,0025:5358,HPEN
szMsgBuf,1120:535a,0025:535a,char[256]
lpbDefMac,1120:5462,0025:5462,char *
mdBuild,1120:5466,0025:5466,MdBuild
vrgbEnvCur,1120:5468,0025:5468,uint8_t[11]
hwndBrowserChild,1120:5474,0025:5474,HWND
hdibRaces,1120:5476,0025:5476,HGLOBAL
viVCRFocus,1120:5478,0025:5478,int16_t
szLastStrGet,1120:547a,0025:547a,char[256]
szBackup,1120:557a,0025:557a,char[256]
hwndMineCB,1120:567a,0025:567a,HWND
cXferFull,1120:567c,0025:567c,int16_t
hpenRadarNear,1120:567e,0025:567e,HPEN
rghbrPlanetAttr,1120:5680,0025:5680,uint16_t[2][3]
hpenEnemy,1120:568c,0025:568c,HPEN
hbrRadarNear,1120:568e,0025:568e,HBRUSH
hpenDkBlue,1120:5690,0025:5690,HPEN
rghbrMinSum,1120:5692,0025:5692,uint16_t[2][4]
szBase,1120:56a2,0025:56a2,char[256]
hcurScanAdd,1120:57a2,0025:57a2,HCURSOR
szWork,1120:57a4,0025:57a4,char[360]
hbrStarbase,1120:590c,0025:590c,HBRUSH
szFormatNumber,1120:590e,0025:590e,char[12]
dySysFont,1120:591a,0025:591a,int16_t
fHullCopy,1120:591c,0025:591c,int16_t
rghbrPat,1120:591e,0025:591e,uint16_t[3]
hwndMsgEdit,1120:5924,0025:5924,HWND
rgrcBuildSpin,1120:5926,0025:5926,RECT[2]
hpenRadar,1120:5936,0025:5936,HPEN
rglpbtlplan,1120:5938,0025:5938,BTLPLAN *[16]
vctok,1120:5978,0025:5978,int16_t
hbmpNumbers,1120:597a,0025:597a,HBITMAP
lpthBattle,1120:597c,0025:597c,THING *
hpenStarbase,1120:5980,0025:5980,HPEN
vtickTooltip1stVis,1120:5982,0025:5982,uint32_t
rghwndOrderDD,1120:5986,0025:5986,uint16_t[3]
hdibToolbar,1120:598c,0025:598c,HGLOBAL
fStarbaseMode,1120:598e,0025:598e,int16_t
vcplrNew,1120:5990,0025:5990,int16_t
hbmpMono,1120:5992,0025:5992,HBITMAP
iAbout1st,1120:5994,0025:5994,int16_t
hbrEnemy,1120:5996,0025:5996,HBRUSH
cColDrop,1120:5998,0025:5998,int16_t
hbrBBlue,1120:599a,0025:599a,HBRUSH
dxResLeft,1120:599c,0025:599c,int16_t
hpenMassPath,1120:599e,0025:599e,HPEN
pProdGlob,1120:59a0,0025:59a0,PROD *
rgplr,1120:59a2,0025:59a2,PLAYER[16]
hpenShip,1120:65a2,0025:65a2,HPEN
rgOut,1120:65a4,0025:65a4,int16_t[16]
cProdGlob,1120:65c4,0025:65c4,int16_t
