name,ghidra_addr,ne_addr,signature
Delay,10e8:3a3e,001e:3a3e,"void Delay(int16_t ctick)"
AnimateAttack,10e8:3ac2,001e:3ac2,"void AnimateAttack(HDC hdc)"
PopupVCRMenu,10e8:4518,001e:4518,"int16_t PopupVCRMenu(HWND hwnd, int16_t x, int16_t y, uint8_t brc)"
EnableVCRButtons,10e8:48f6,001e:48f6,"void EnableVCRButtons()"
RelationsDlg,10f0:0088,001f:0088,"int16_t RelationsDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
NewPlanNameDlg,10f0:04ce,001f:04ce,"int16_t NewPlanNameDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
BattlePlansDlg,10f0:0652,001f:0652,"int16_t BattlePlansDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
FDeleteBattlePlan,10f0:1706,001f:1706,"int16_t FDeleteBattlePlan(int16_t iplan, int16_t fWarn)"
SpankTheCheaters,10f0:192a,001f:192a,"void SpankTheCheaters()"
FFleetHasBombs,10f0:1e16,001f:1e16,"int16_t FFleetHasBombs(FLEET *lpfl)"
FHullHasBombs,10f0:1ec2,001f:1ec2,"int16_t FHullHasBombs(HUL *lphul)"
FFleetHasTeeth,10f0:1fbe,001f:1fbe,"int16_t FFleetHasTeeth(FLEET *lpfl)"
FHullHasTeeth,10f0:2072,001f:2072,"int16_t FHullHasTeeth(HUL *lphul)"
FFuelTanker,10f0:20f6,001f:20f6,"int16_t FFuelTanker(SHDEF *lpshdef)"
CheckTarget,10f0:212a,001f:212a,"void CheckTarget(TOK *ptok, FLEET *lpfl, int16_t ishdef)"
FDumpCargo,10f0:234a,001f:234a,"int16_t FDumpCargo(FLEET *lpfl)"
DropSalvage,10f0:24dc,001f:24dc,"void DropSalvage(THING **plpth, int32_t *rgwtMinerals, int16_t iplr, POINT *ppt)"
CplrBattle,10f0:2952,001f:2952,"int16_t CplrBattle(FLEET *lpfl, uint16_t *rggrfAttack, uint16_t *pgrfPlayer, uint16_t *pgrfSpectator)"
SpdOfShip,10f0:339c,001f:339c,"int16_t SpdOfShip(FLEET *lpfl, int16_t ishdef, TOK *ptok, int16_t fDumpCargo, SHDEF *lpshdef)"
LpshdefFromTok,10f0:388e,001f:388e,"SHDEF * LpshdefFromTok(TOK *ptok)"
FCanKillTok,10f0:391e,001f:391e,"int16_t FCanKillTok(TOK *ptok1, TOK *ptok2)"
DoBattles,10f0:3a26,001f:3a26,"void DoBattles(int16_t fPostMovement)"
RegenShield,10f0:3c16,001f:3c16,"void RegenShield(TOK *ptok)"
InitFromHuldef,10f0:3cba,001f:3cba,"int16_t InitFromHuldef(HUL *lphul, int16_t *ppctBC)"
CheckInitiative,10f0:3e68,001f:3e68,"void CheckInitiative(TOK *ptok)"
CheckWeapons,10f0:3ec2,001f:3ec2,"void CheckWeapons(TOK *ptok, int16_t *pfDampeningField, uint8_t *pinit)"
RandomizeTokOrder,10f0:44d4,001f:44d4,"void RandomizeTokOrder()"
InitializeBoard,10f0:45b4,001f:45b4,"void InitializeBoard(FLEET *lpfl, int16_t ibrc, uint16_t grfPlayer, uint8_t *pinit, int16_t *pinitMin, int16_t *pinitMac)"
DzFromBrcBrc,10f0:4ca8,001f:4ca8,"int16_t DzFromBrcBrc(uint8_t brc1, uint8_t brc2)"
DpFromPtokBrcToBrc,10f0:4d2e,001f:4d2e,"int32_t DpFromPtokBrcToBrc(TOK *ptok, uint8_t brcSrc, uint8_t brcTarget, TOK *ptokTarget, int16_t fProximity)"
DzMoveRangeToConsider,10f0:5312,001f:5312,"int16_t DzMoveRangeToConsider(TOK *ptok, uint16_t grfAttack, uint8_t *pbrc)"
FDoesPrimaryTargetTypeExist,10f0:56d8,001f:56d8,"int16_t FDoesPrimaryTargetTypeExist(TOK *ptok, uint16_t grfAttack)"
FIsTargetOfMdTarget,10f0:587a,001f:587a,"int16_t FIsTargetOfMdTarget(TOK *ptok, int16_t mdTarget)"
ScoreGuessBattleDamage,10f0:598c,001f:598c,"int32_t ScoreGuessBattleDamage(TOK *ptokSrc, uint8_t brc, int16_t fPrimary, uint16_t grfAttack)"
ScoreFromGiveAndTakeAndTactic,10f0:5e34,001f:5e34,"int32_t ScoreFromGiveAndTakeAndTactic(int32_t dpGive, int32_t dpTake, int16_t mdTactic)"
DxyMoveTokTo,10f0:5f18,001f:5f18,"int16_t DxyMoveTokTo(TOK *ptok, int16_t spdMove, uint16_t grfAttack)"
CTorpHit,10f0:6790,001f:6790,"int32_t CTorpHit(int32_t cTorpBase, TOK *ptok, int16_t pctBase, int16_t pctBC)"
FAttack,10f0:69ac,001f:69ac,"int16_t FAttack(int16_t itokAttacker, int16_t init, BTLREC *lpbtlrec, uint16_t grfAttack)"
KillShips,10f0:7cde,001f:7cde,"void KillShips(TOK *ptok, int16_t cshKill, int16_t ishdef, FLEET *lpfl, int16_t fFallout)"
CreateSalvage,10f0:7ee8,001f:7ee8,"void CreateSalvage(FLEET *pfl, THING **plpth)"
FDamageTok,10f0:81d4,001f:81d4,"int16_t FDamageTok(TOK *ptok, int16_t itok, int32_t *pdpBeam, int32_t dpTorp, uint16_t grfWeapon, int16_t fShieldsOnly, int32_t *pcTorp)"
DxyFromSpdRound,10f0:8b28,001f:8b28,"int16_t DxyFromSpdRound(uint16_t spd, int16_t iRound)"
FDoCoolBattle,10f0:8bcc,001f:8bcc,"int16_t FDoCoolBattle(FLEET *lpfl, int16_t cplr, uint16_t *rggrfAttack, uint16_t grfPlayer, uint16_t grfSpectator)"
ITechLearnATech,10f0:9918,001f:9918,"int16_t ITechLearnATech(int16_t iplr, int16_t x, int16_t y, MessageId idm, uint16_t *piGoto)"
SendBattleMessages,10f0:9c0e,001f:9c0e,"void SendBattleMessages(FLEET *lpflBtl, int16_t cplr, int16_t idBtl, uint16_t *rgPlrLosses, int16_t grfPlayer, int16_t cShipsInvolved, int16_t cShdefsInvolved, uint16_t grfSpectator)"
FAttackPlayer,10f0:ae06,001f:ae06,"int16_t FAttackPlayer(FLEET *lpfl, int16_t iplr)"
DoBombing,10f0:aefa,001f:aefa,"void DoBombing()"
TutorDlg,10f8:0000,0020:0000,"int16_t TutorDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
PanicDlg,10f8:026a,0020:026a,"int16_t PanicDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
ShowTutor,10f8:0374,0020:0374,"void ShowTutor(int16_t fShow)"
DrawTutorText,10f8:03c0,0020:03c0,"void DrawTutorText(HWND hwnd)"
StartTutor,10f8:06b4,0020:06b4,"void StartTutor(int16_t fRestart)"
AdvanceTutor,10f8:0a30,0020:0a30,"void AdvanceTutor()"
EndTutor,10f8:0c02,0020:0c02,"void EndTutor(int16_t fClose)"
SaveGameState,10f8:0c90,0020:0c90,"void SaveGameState()"
RestoreGameState,10f8:0e1c,0020:0e1c,"void RestoreGameState()"
FAskKillTutor,10f8:0f36,0020:0f36,"int16_t FAskKillTutor()"
FTutorTaskDone,10f8:0fbc,0020:0fbc,"int16_t FTutorTaskDone()"
FCheckZip,10f8:6460,0020:6460,"int16_t FCheckZip(int16_t iZip, ITEMACTION *lpiaGoal, StringId ids)"
FCheckTemplate,10f8:666e,0020:666e,"int16_t FCheckTemplate(int16_t iTemplate)"
TutorError,10f8:67ae,0020:67ae,"void TutorError(int16_t idsError)"
FCheckScanner,10f8:685c,0020:685c,"int16_t FCheckScanner(int16_t md, int16_t iZoom)"
FCheckFleetName,10f8:690a,0020:690a,"int16_t FCheckFleetName(int16_t id, StringId ids)"
FCheckSummary,10f8:69e2,0020:69e2,"int16_t FCheckSummary(GrobjClass grobj, int16_t id)"
FCheckSelection,10f8:6af4,0020:6af4,"int16_t FCheckSelection(GrobjClass grobj, int16_t id)"
FCheckMessages,10f8:6c48,0020:6c48,"int16_t FCheckMessages(int16_t imsg, MessageId idm, int16_t fFilter)"
FCheckResearch,10f8:6da4,0020:6da4,"int16_t FCheckResearch(int16_t iTech, int16_t iTechNext, int16_t pct)"
FCheckFleetWP,10f8:6df4,0020:6df4,"int16_t FCheckFleetWP(uint16_t ifl, int16_t iord, GrobjClass grobj, int16_t id, uint16_t grTask, uint16_t iWarp)"
FCheckPlanetRoute,10f8:6f86,0020:6f86,"int16_t FCheckPlanetRoute(int16_t idpl, int16_t idplRoute)"
FCheckLayingWP,10f8:6ff4,0020:6ff4,"int16_t FCheckLayingWP(uint16_t ifl, int16_t iord, int16_t id, int16_t iYears)"
FCheckColonizeWP,10f8:70c0,0020:70c0,"int16_t FCheckColonizeWP(uint16_t ifl, int16_t id, uint16_t iWarp)"
FCheckPatrolWP,10f8:71ac,0020:71ac,"int16_t FCheckPatrolWP(uint16_t ifl, int16_t iord, int16_t id, uint16_t iWarp, uint16_t iPlan, uint16_t iDist)"
FCheckXferWP,10f8:7280,0020:7280,"int16_t FCheckXferWP(uint16_t ifl, int16_t iord, int16_t id, uint16_t iWarp, ITEMACTION *lpiaGoal)"
FCheckQueue,10f8:7442,0020:7442,"int16_t FCheckQueue(int16_t ipl, int16_t iprod, GrobjClass grobj, uint16_t iItem, uint16_t cItem, uint16_t fNoResearch)"
FCheckBtlPlan,10f8:760a,0020:760a,"int16_t FCheckBtlPlan(int16_t ibp, uint16_t imdTarget, uint16_t fSpread, uint16_t fBomb, uint16_t fDump, uint16_t mdUnarmed, uint16_t mdScout, uint16_t mdWar, uint16_t mdBomber)"
FCheckCargo,10f8:7664,0020:7664,"int16_t FCheckCargo(FLEET *lpfl, int16_t wtMin1, int16_t wtMin2, int16_t wtMin3, int16_t wtColonists)"
FCheckBuilderPart,10f8:77d8,0020:77d8,"int16_t FCheckBuilderPart(int16_t iSlot, HS *phs, uint16_t cInit)"
FCheckShipBuilder,10f8:7964,0020:7964,"int16_t FCheckShipBuilder(int16_t iCategory, int16_t iShip)"
FTutorialEnabledShipBuilder,10f8:79f6,0020:79f6,"int16_t FTutorialEnabledShipBuilder(int16_t itutsbAction)"
FOKMergeDialog,10f8:81da,0020:81da,"int16_t FOKMergeDialog()"
CchTutorString,1100:5a14,0021:5a14,"int16_t CchTutorString(char *pchOut, int16_t idt)"
ReportDlg,1108:0018,0022:0018,"int32_t ReportDlg(HWND hwnd, uint16_t msg, uint16_t wParam, int32_t lParam)"
SetHScrollBar,1108:09e8,0022:09e8,"void SetHScrollBar()"
DrawReport,1108:0bae,0022:0bae,"void DrawReport(HWND hwnd, HDC hdc, RECT *prc)"
ScoreXDlg,1108:0f66,0022:0f66,"int16_t ScoreXDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
InitScoreDlg,1108:13b6,0022:13b6,"void InitScoreDlg(HWND hwnd, int16_t fVictory)"
DrawVCReport,1108:168e,0022:168e,"void DrawVCReport(HDC hdc)"
DrawScoreReport,1108:1e0c,0022:1e0c,"void DrawScoreReport(HDC hdc)"
DrawHistoryReport,1108:2494,0022:2494,"void DrawHistoryReport(HDC hdc)"
LFetchScoreXVal,1108:2f94,0022:2f94,"int32_t LFetchScoreXVal(SCOREX *lpsx, int16_t iVal)"
DxReportColHdr,1108:305e,0022:305e,"int16_t DxReportColHdr(int16_t irpt, int16_t iCol, char *psz, HDC hdc)"
DrawReportItem,1108:3398,0022:3398,"void DrawReportItem(HDC hdc, RECT *prc, int16_t irpt, int16_t irow, int16_t icol)"
DrawMineralItem,1108:4ebe,0022:4ebe,"void DrawMineralItem(HDC hdc, int16_t x, int16_t y, int16_t iMineral, int32_t l)"
PszGetDestName,1108:4f60,0022:4f60,"char * PszGetDestName(FLEET *lpfl, HDC hdc)"
FDestIsWP0,1108:50b4,0022:50b4,"int16_t FDestIsWP0(FLEET *lpfl)"
PszGetETA,1108:51a8,0022:51a8,"char * PszGetETA(HDC hdc, FLEET *lpfl, int16_t *pcYears)"
PszGetTaskName,1108:53b8,0022:53b8,"char * PszGetTaskName(FLEET *lpfl, int16_t *picr)"
SortReportCache,1108:589c,0022:589c,"void SortReportCache(int16_t irpt, int16_t icol)"
ICompReport,1108:5bb8,0022:5bb8,"int16_t ICompReport(void *arg1, void *arg2)"
ReportColumnPopup,1108:74d4,0022:74d4,"void ReportColumnPopup(POINT pt, int16_t icol, int16_t fRightBtn)"
InvalidateReport,1108:7af6,0022:7af6,"void InvalidateReport(int16_t irpt, int16_t fReload)"
ExecuteReportClick,1108:7cd6,0022:7cd6,"void ExecuteReportClick(POINT pt, int16_t irpt, int16_t icol, int16_t irow)"
DumpUniverse,1108:851e,0022:851e,"void DumpUniverse()"
DumpPlanets,1108:86e4,0022:86e4,"void DumpPlanets()"
DumpFleets,1108:9530,0022:9530,"void DumpFleets()"
PrintMapDlg,1108:a1c2,0022:a1c2,"int16_t PrintMapDlg(HWND hwnd, WMType msg, uint16_t wParam, int32_t lParam)"
LpthNew,1110:0000,0023:0000,"THING * LpthNew(int16_t iplr, ThingType ith)"
FreeLpth,1110:0224,0023:0224,"void FreeLpth(THING *lpth)"
CPlanetsInCircle,1110:02a0,0023:02a0,"int16_t CPlanetsInCircle(POINT pt, int32_t r2)"
DrawThingGauge,1110:044e,0023:044e,"void DrawThingGauge(HDC hdc, RECT *prc, THING *lpth, int16_t md)"
IValidateWormholePos,1110:064c,0023:064c,"int16_t IValidateWormholePos(THING *lpthWorm)"
PctWormholeMoves,1110:0adc,0023:0adc,"int16_t PctWormholeMoves(THING *lpth)"
DoThingInteractions,1110:0b3a,0023:0b3a,"void DoThingInteractions(int16_t fPostMove)"
IdmGiveTraderPart,1110:1a96,0023:1a96,"int16_t IdmGiveTraderPart(GrbitTrader grbitTrader, int16_t iplr, uint16_t *piGoto)"
